text,pages,block_types
"。
雾灯开关
雾灯可确保不良驾驶条件下的良好能见度，如雨天和起雾时。
操作说明
 后雾灯开关
打开后雾灯
松开开关调节环，将其返回至。
再次操作开关调节环关闭后雾灯。
158
 前雾灯和后雾灯开关
1 关闭前雾灯和后雾灯
2 打开前雾灯
3 打开前雾灯和后雾灯<sup>松开开关调节环，将其返回至</sup>www.carob。
再次操作开关调节环仅关闭后雾灯。
■雾灯的使用条件
带后雾灯开关的车辆前照灯打开。
带前雾灯和后雾灯开关的车辆前雾灯 :前照灯或前位灯打开。后雾灯 :前照灯或前雾灯打开。
风挡玻璃刮水器和喷洗器
操作控制杆可使用风挡玻璃刮水器或喷洗器。
注意
■风挡玻璃处于干燥状态时
请勿使用刮水器，否则可能损坏风挡玻璃。
操作刮水器控制杆
操作 控制杆可如下操作刮水器或喷洗器。
<sup>驾</sup><sub>驶</sub>
1 风挡玻璃刮水器间歇工作
2 风挡玻璃刮水器低速工作
3 风挡玻璃刮水器高速工
159
4 临时工作
选择间歇工作时，可调节刮水器刮水间隔。
5 增大间歇式风挡玻璃刮水器刮水频率
6 减小间歇式风挡玻璃刮水 器刮水频率
www.carob
7 喷洗器/刮水器双重工作
拉动控制杆可操作刮水器和喷洗器。
喷射喷洗液后，刮水器将自动工作数次。
■操作风挡玻璃刮水器和喷洗器的条件
发动机开关置于 ON。
■防滴流刮水工作","159,160","page_number,text"
"率
6 减小间歇式风挡玻璃刮水 器刮水频率
www.carob
7 喷洗器/刮水器双重工作
拉动控制杆可操作刮水器和喷洗器。
喷射喷洗液后，刮水器将自动工作数次。
■操作风挡玻璃刮水器和喷洗器的条件
发动机开关置于 ON。
■防滴流刮水工作
清洗和刮水工作数次后，刮水器暂停片刻后会再工作一次，以防滴流。然而，驾驶过程中，此功能不工作。
■如果不能喷出风挡玻璃喷洗液
如 风挡玻璃喷洗液储液罐中仍有喷洗液，则检查并确认喷洗器喷嘴未堵塞。
■行驶过程中发生紧急情况而需要停止发动机时
如果停止发动机时，风挡玻璃刮水器正在工作，则其将高速工作。车辆停止后，将发动机开关切换至ON时，工作恢复正常。
警告
■有关使用喷洗液的注意事项
天气寒冷时，风挡玻璃变暖前请<sub>勿使用喷洗液。喷洗液可能会在</sub>ook.com风挡玻璃上结冰，导致能见度降低。这可能引发事故，从而造成严重伤害甚至死亡。
注意
■无喷洗液从喷嘴喷出时
如果将控制杆拉向自身并握住不放，则可能损坏喷洗液泵。
■喷嘴堵塞时
在此情况下，请联系您的丰田汽车经销商。
请勿尝试用针或其他物体清除异物。否则会损坏喷嘴。
160
后风挡玻璃刮水器和喷洗器
注意
■后车窗干燥时
请勿使用刮水器，否则可能损坏后车窗。
操作刮水器控制杆
操作 开关可如下操作后刮水器。
1 关闭
2 间歇工作
3 正常工作
4 喷洗器/刮水器双重工作","160,161","page_number,text"
"物体清除异物。否则会损坏喷嘴。
160
后风挡玻璃刮水器和喷洗器
注意
■后车窗干燥时
请勿使用刮水器，否则可能损坏后车窗。
操作刮水器控制杆
操作 开关可如下操作后刮水器。
1 关闭
2 间歇工作
3 正常工作
4 喷洗器/刮水器双重工作
推动控制杆可操作刮水器和喷洗器。
喷射喷洗液后，刮水器将自动工作数次。
■操作后车窗刮水器和喷洗器的条件
发动机开关置于ON。
■如果不能喷出喷洗液
如果喷洗液储液罐中仍有喷洗液，则检查并确认喷洗器喷嘴未堵塞。
■背门开启联动后车窗刮水器停止功能
车辆停止的情况下，后车窗刮水器正在工作时 如果打开背门 则后车窗刮水器工作将停止，以防止车辆附近的任何人溅上刮水器的水<sub>关闭背门时，刮水器工作将恢复。</sub>ook.com
注意
■喷洗液储液罐变空时
请勿持续操作开关，否则喷洗液泵可能会过热。
■喷嘴堵塞时
在此情况下，请联系您的丰田汽车经销商。
请勿尝试用针或其他物体清除异物。否则会损坏喷嘴。
驾驶
161
打开燃油箱盖
执行下列步骤以打开燃油箱盖。
给车辆加注燃油前
关闭发动机开关并确保所有车门和车窗均关闭。
确认燃料种类。
■燃料种类
P.351, 358
■无铅汽油专用燃油箱加注口
为防止加错燃油，本车的燃油箱加注口只能容纳无铅燃油泵的专用喷嘴。
■如果故障指示灯点亮w","161,162","aside_text,page_number,text"
"盖。
给车辆加注燃油前
关闭发动机开关并确保所有车门和车窗均关闭。
确认燃料种类。
■燃料种类
P.351, 358
■无铅汽油专用燃油箱加注口
为防止加错燃油，本车的燃油箱加注口只能容纳无铅燃油泵的专用喷嘴。
■如果故障指示灯点亮w
如果燃油箱几乎加满燃油时，仍重复加注燃油，则故障指示灯可能会错误点亮。
警告
■给车辆加注燃油时
给车辆加注燃油时，请遵守下列注意事项。否则可能导致严重伤害甚至死亡。
●下车后和打开燃油加注 盖前，触摸无漆金属表面以释放所有静电。加注燃油前释放静电非常重要，因为加注燃油时，静电产生的火花可能点燃燃油蒸汽。
●务必捏住燃油箱盖上的把手，缓慢转动以取下燃油箱盖。松开燃油箱盖时，可能会听到嗖嗖声。等该声音完全消失后再取下燃油箱盖。在高温天气下，燃油可能因内部压力过大而从加油口喷出，导致人员受伤。
●请勿让未释放静电的人员靠近打开的燃油箱。
●请勿吸入燃油蒸汽。燃油中含有对身体有害的物质。
●给车辆加注燃油时请勿吸烟。否则可能引燃燃油而导致起火。
●请勿返回车内或触碰任何带静电的人员或物体。因为这可能导致静电积聚而引
■加注燃油时
请遵守下列注意事项，以防燃油从燃油箱中溢出 :
●将燃油喷嘴牢固地插入加油口。
●燃油喷嘴自动关闭后，停止向燃油箱加油。
●请勿将燃油箱加注得过满。
注意
■加注燃油
加注燃油期间，请勿让燃油溢出。",162,text
"因为这可能导致静电积聚而引
■加注燃油时
请遵守下列注意事项，以防燃油从燃油箱中溢出 :
●将燃油喷嘴牢固地插入加油口。
●燃油喷嘴自动关闭后，停止向燃油箱加油。
●请勿将燃油箱加注得过满。
注意
■加注燃油
加注燃油期间，请勿让燃油溢出。
否则可能损坏车辆，如导致排放控制系统工作异常、损坏燃油系统部件或车辆漆面。
162
注意
●确保燃油喷嘴防护套等不会按下燃油加注口盖锁。否则，内部阀会关闭，且燃油可能溢出。为防止此情况发生，向上拉开启开关以再次打开燃油加注口盖。
打开燃油箱盖
1 向上拉开启开关打开燃油加注口盖。
2 缓慢转动燃油箱盖并将其 取下，然后挂在燃油加注 口盖的背面。
关闭燃油箱盖
加注燃油后，转动燃油箱盖直至听到咔嗒声。松开后，燃油箱盖会稍微回转。
警告
■更换燃油箱盖时
应使用专门为本车型设计的丰田纯正燃油箱盖。否则可能导致起火或其他事故，从而造成严重伤害甚至死亡。
163
驾驶
Toyota Safety Sense 智行安全（丰田规避碰撞辅助套装）软件更新
必须签订丰田提供的互联服务合约才能使用这些功能。有关详情，请联系您的丰田汽车经销商。
警告
■安全使用须知
Toyota Safety Sense 智行安全（丰田规避碰撞辅助套装）软件更新时，功能的操作方法可能会有所变化 在不了解正确操作方法的情况下使用本系统可能会引发事故 从而导致严重伤害甚至死亡。","162,163,164","aside_text,page_number,text"
"系您的丰田汽车经销商。
警告
■安全使用须知
Toyota Safety Sense 智行安全（丰田规避碰撞辅助套装）软件更新时，功能的操作方法可能会有所变化 在不了解正确操作方法的情况下使用本系统可能会引发事故 从而导致严重伤害甚至死亡。
●使用本系统前，请务必阅读用www.ca户手册网站上提供的与系统软件版本相对应的数字化用户手册。
Toyota Safety Sense 智行安全（丰田规避碰撞辅助套装）用户手册的内容
本用户手册包含版本1的信息。有关 Toyota Safety
Sense智行安全（丰田规避碰撞辅助套装）各功能的控制、使用、警告/注意事项等的最新信息，请参见用户手册网站上的数字化用户手册。
如果初次购买车辆后本系统的软件已更新，则在使用本系统前，请务必阅读与系统软件版本对应的用户手册。
■使用注意事项
●请注意，如果发生法律或安全相关问题，则某些功能可能会暂时禁用。
●如果互联服务合约尚未签订或已过期，则将无法通过无线方式执行软件更新。
查看车辆的 ToyotaSafety Sense 智行安全（丰田规避碰撞辅助套装）版本
如果初次购买车辆后本系统的 软件已更新，要访问相应的用 户手册，需查看系统的软件版 <sup>本</sup>，<sup>然</sup>后<sup>访问</sup>用<sup>户手</sup>册网<sup>站</sup>。book.com",164,text
"本
如果初次购买车辆后本系统的 软件已更新，要访问相应的用 户手册，需查看系统的软件版 <sup>本</sup>，<sup>然</sup>后<sup>访问</sup>用<sup>户手</sup>册网<sup>站</sup>。book.com
在音响系统画面上查看当前软件版本
可从驾驶辅助功能更新通知中查看当前软件版本。
164
使用车辆的 ToyotaSafety Sense 智行安全（丰田规避碰撞辅助套装）版本
1 使用计算机或智能手机访问下列网址:
http://amti.ft-ucar.com.cn/f/ replace.html?param= 01999-0a047.corolla cross. 2304.cv.vh
2 选择包含先前查看的系统版本的文件。
■数字化用户手册
●可购买用户手册的印刷版。有关 详情，请联系您的丰田汽车经销 商。
更新软件
如果可更新软件，则音响系统画面上将显示通知。按照画面显示的指示操作。
更新软件后，功能的使用方法可能会更改，且功能可能会增加。
有关更改或增加的详情，请查看用户手册网站。
■软件更新注意事项
●执行软件更新后，将无法恢复到之前的版本。
●根据通信环境和更新内容，软件更新可能需要几个小时。虽然发动机开关关闭时更新将暂停，但发动机开关切换回 ON时，更新将恢复。","164,165","page_number,text"
"增加。
有关更改或增加的详情，请查看用户手册网站。
■软件更新注意事项
●执行软件更新后，将无法恢复到之前的版本。
●根据通信环境和更新内容，软件更新可能需要几个小时。虽然发动机开关关闭时更新将暂停，但发动机开关切换回 ON时，更新将恢复。
●执行软件更新时，仍可使用Toyota Safety Sense 智行安全（丰田规避碰撞辅助套装）。
■查看驾驶辅助功能更新通知
可查看或执行以下项目。
●软件版本、更新详情、注意事项、使用方法等
●显示软件更新历史记录的链接
●软件更新
驾驶
165
Toyota Safety Sense 智行安全（丰田规避碰撞辅助套装）
Toyota Safety Sense 智行安全（丰田规避碰撞辅助套装）包含驾驶辅助系统，致力于打造安全舒适的驾驶体验 :
警告
■Toyota Safety Sense 智行安全（丰田规避碰撞辅助套装）
Toyota Safety Sense 智行安全（丰田规避碰撞辅助套装）在驾驶员安全驾驶的前提下工作，旨在发生碰撞时帮助降低对乘员的冲击，并在正常驾驶条件下辅助驾驶员。 www.ca由于本系统在识别精度和控制性能方面存在局限性，因此请勿过度依赖。驾驶员要全权负责注意车辆周围情况并安全驾驶。
■安全使用须知","165,166","aside_text,page_number,text"
"套装）在驾驶员安全驾驶的前提下工作，旨在发生碰撞时帮助降低对乘员的冲击，并在正常驾驶条件下辅助驾驶员。 www.ca由于本系统在识别精度和控制性能方面存在局限性，因此请勿过度依赖。驾驶员要全权负责注意车辆周围情况并安全驾驶。
■安全使用须知
●请勿过度依赖该系统 驾驶员要全权负责注意车辆周围情况并安全驾驶。该系统并非在所有情况下都工作，且提供的辅助有局限性。过度依赖该系统安全驾驶车辆可能会引发事故，从而导致严重伤害甚至死亡。
●请勿尝试测试该系统的工作情况，因为系统可能无法正常工作，从而可能引发事故。
●如果进行驾驶操作时需要注意或系统发生故障，则将显示警告信息或警告蜂鸣器将工作。如果显示屏上显示警告信息，请遵循显示的指示。
●由于外界噪音、音响系统的音量等，可能难以听到警告蜂鸣器的声音。此外，根据路况，可能难以识别系统的 作情况。
■需要禁用系统时
在下列情况下，确保禁用系统。
否则可能导致系统无法正常工作，从而可能引发事故，导致严重伤害甚至死亡。
●车辆因过载或轮胎泄气而倾斜 时
●以极高速度行驶时
<sub>●拖拽另一车辆时</sub>ook.com
●使用卡车、轮船、火车等运输车辆时
●用举升机举升车辆且轮胎可以自由转动时
●使用诸如底盘测功机或速度表检测台等滚筒试验台检查车辆时，或使用就车式车轮平衡器时
●以运动方式或越野驾驶车辆时
●自动洗车时",166,text
"另一车辆时</sub>ook.com
●使用卡车、轮船、火车等运输车辆时
●用举升机举升车辆且轮胎可以自由转动时
●使用诸如底盘测功机或速度表检测台等滚筒试验台检查车辆时，或使用就车式车轮平衡器时
●以运动方式或越野驾驶车辆时
●自动洗车时
●由于传感器或其周围区域受到强烈撞击而导致传感器错位或变形时
●车辆暂时安装遮挡传感器或车灯的附件时
166
警告
●车辆安装小型备胎或轮胎防滑链，或使用应急补胎工具时
●轮胎过度磨损或轮胎气压低时
●安装了制造商规定规格以外的轮胎时
●车辆因碰撞、故障等不能平稳行驶时
驾驶辅助系统
■ AHB（自动远光）
P.156
■ PCS（碰撞预测系统）
P.171
■ LTA（车道保持辅助）
P.180
■ LDA（车道偏离警示）
P.185
■ PDA（主动驾驶辅助） P.190
■ RSA（路标辅助）
P.207
■ 动态雷达巡航控制
P.195
■ 巡航控制
P.204
■ 紧急停车系统
P.209
Toyota Safety Sense 智行安全（丰田规避碰撞辅助套装）使用的传感器
使用了各种传感器以获取系统工作所需的信息。
■ 检测周围情况的传感器
前雷达传感器
前摄像机
■防止雷达传感器故障
请遵守下列注意事项。否则可能导致雷达传感器无法正常工作，从而可能引发事故，导致严重伤害甚至死亡。
167
驾驶
警告","166,167,168","aside_text,page_number,text"
"传感器
使用了各种传感器以获取系统工作所需的信息。
■ 检测周围情况的传感器
前雷达传感器
前摄像机
■防止雷达传感器故障
请遵守下列注意事项。否则可能导致雷达传感器无法正常工作，从而可能引发事故，导致严重伤害甚至死亡。
167
驾驶
警告
●始终保持雷达传感器和雷达传感器盖清洁。
如果雷达传感器前部或雷达传感 器盖正面或背面脏污或覆盖有水 滴、雪等，则进行清洁。
清洁雷达传感器和雷达传感器盖时，请使用软布去除污物，以免造成损坏。
雷达传感器
雷达传感器盖
●请勿在雷达传感器或雷达传感www.car器盖及其周围区域加装附件、粘贴贴纸（包括透明贴纸）、铝箔胶带等。
●请勿让雷达传感器或其周围区 域受到撞击。 如果雷达传感器、前格栅或前 保险杠受到撞击，请联系您的 丰田汽车经销商检查车辆。
●请勿拆解雷达传感器。
●请勿改装或喷涂雷达传感器或雷达传感器盖，或用任何丰田纯正零件以外的零件进行更换。
●在下列情况下，需要重新校准 雷达传感器。有关详情，请联 系您的丰田汽车经销商。
• 拆下和安装或更换雷达传感器时
• 更换前保险杠或前格栅时
■防止前摄像机故障
请遵守下列注意事项。否则可能导致前摄像机无法正常工作，从而可能引发事故，导致严重伤害甚至死亡。
●始终保持风挡玻璃清洁。
• 如果风挡玻璃脏污或覆盖有油膜、水滴、雪等，则清洁风挡玻璃。",168,text
"感器时
• 更换前保险杠或前格栅时
■防止前摄像机故障
请遵守下列注意事项。否则可能导致前摄像机无法正常工作，从而可能引发事故，导致严重伤害甚至死亡。
●始终保持风挡玻璃清洁。
• 如果风挡玻璃脏污或覆盖有油膜、水滴、雪等，则清洁风挡玻璃。
• 即使风挡玻璃上使用了玻璃涂层剂，仍需使用风挡玻璃刮水器清除前摄像机前方风挡玻璃上的水滴等。
• 如果风挡玻璃内侧安装前摄像 机的部位脏污，请联系您的丰 田汽车经销商。
●请勿在前摄像机前方的风挡玻<sub>璃部位（图中阴影区域）粘贴</sub>ook.com贴纸（包括透明贴纸）或其他物品。
约 4 cm（厘米）
约 4 cm（厘米）
●如果前摄像机前方风挡玻璃部位起雾或覆盖有冷凝水或冰，则使用风挡玻璃除雾器清除雾气、冷凝水或冰。
168
警告
●如果风挡玻璃刮水器无法清除前摄像机前方风挡玻璃上的水滴，则更换刮水器插入件或刮水片。
●请勿在风挡玻璃上粘贴车窗贴膜。
●如果风挡玻璃损坏或破裂，请更换。
如果更换了风挡玻璃，则需要重新校准前摄像机。有关详情，请联系您的丰田汽车经销商。
●请勿让液体接触前摄像机。
●请勿让强光照射前摄像机。
●请勿损坏前摄像机镜头或使其脏污。
清洁风挡玻璃内侧时，请勿让玻璃清洁剂接触前摄像机的镜www.ca头。请勿触摸前摄像机镜头。如果前摄像机镜头脏污或损坏，请联系您的丰田汽车经销商。
●请勿强烈撞击前摄像机。","168,169","page_number,text"
"机。
●请勿让强光照射前摄像机。
●请勿损坏前摄像机镜头或使其脏污。
清洁风挡玻璃内侧时，请勿让玻璃清洁剂接触前摄像机的镜www.ca头。请勿触摸前摄像机镜头。如果前摄像机镜头脏污或损坏，请联系您的丰田汽车经销商。
●请勿强烈撞击前摄像机。
●请勿改变前摄像机的位置、方向或将其拆下。
●请勿拆解前摄像机。
●请勿改装前摄像机周围的任何零件，如内后视镜或车顶内衬。
●请勿在发动机盖、前格栅或前 保险杠上安装可能会遮挡前摄 像机的附件。有关详情，请联 系您的丰田汽车经销商。
●如果要将冲浪板或其他长形物体置于车顶上，请确保其不会遮挡前摄像机。
●请勿改装或更改前照灯和其他车灯。
■风挡玻璃上的前摄像机安装区域
如果系统判定风挡玻璃可能起雾，则其将自动操作加热器以为前摄像机周围的风挡玻璃部位除雾。进行清洁等时，风挡玻璃充分冷却前小心不要触摸前摄像机周围的区域，否则可能导致烫伤。
■传感器可能无法正常工作的情况
●车辆高度或倾斜度因改装而发生变化时
●风挡玻璃脏污、起雾、破裂或损坏时
●环境温度高或低时
●传感器前部粘附有泥、水、雪、book.com死昆虫、异物等时
●天气恶劣时，如大雨、雾、雪或沙尘暴
●车辆前方溅起水、雪、灰尘等 时，或驶过薄雾或烟雾时
●在黑暗中（例如夜间或位于隧道中）行驶期间，前照灯熄灯时
●前照灯透镜脏污且照明较弱时
●前照灯未对正时
●前照灯故障时",169,text
"k.com死昆虫、异物等时
●天气恶劣时，如大雨、雾、雪或沙尘暴
●车辆前方溅起水、雪、灰尘等 时，或驶过薄雾或烟雾时
●在黑暗中（例如夜间或位于隧道中）行驶期间，前照灯熄灯时
●前照灯透镜脏污且照明较弱时
●前照灯未对正时
●前照灯故障时
●其他车辆的前照灯、阳光或反光直射前摄像机时
●周围区域亮度突变时
●在电视塔、广播电台、发电厂、配备雷达的车辆等或其他可能存在强无线电波或电噪的地方附近行驶时
●刮水片遮挡前摄像机时●位于某个位置或靠近物体（该位置或物体会强烈反射无线电波）时，如下所示:
169
驾驶
• 隧道
• 桁架桥
• 砂砾道路
• 有车辙的积雪道路
• 墙壁
• 大型卡车
• 井盖
• 护栏
• 金属板
●靠近台阶或凸起时
●可检测车辆较窄时，如小型机动车辆
●可检测车辆前部或尾部较小时，如空载卡车
●可检测车辆前部或尾部较低时，如低台挂车
●可检测车辆离地间隙非常高时
●可检测车辆运输的物体伸出其货物区时
●可检测车辆有少量金属外露时，如用布部分遮盖的车辆等
●可检测车辆外形不规则时，如拖 拉机、跨斗车等
●本车和可检测车辆之间的距离变 得极短时
●可检测车辆处于一定角度时
●可检测车辆上有积雪、污泥等时
●在下列道路上行驶时 :
• 急转弯道路或蜿蜒道路
• 有坡度变化的道路，如突然上坡或下坡
• 向左或向右倾斜的道路
• 有深车辙的道路
• 不平整且未维护的道路","169,170","aside_text,page_number,text"
"距离变 得极短时
●可检测车辆处于一定角度时
●可检测车辆上有积雪、污泥等时
●在下列道路上行驶时 :
• 急转弯道路或蜿蜒道路
• 有坡度变化的道路，如突然上坡或下坡
• 向左或向右倾斜的道路
• 有深车辙的道路
• 不平整且未维护的道路
• 频繁起伏或颠簸的道路
●频繁或突然操作方向盘时
●车辆不在车道内的固定位置时
●与系统相关的零件、制动器等过冷或过热、潮湿等时
●车轮未对准时
●在滑溜路面上行驶时，如结冰、积雪、砂砾路面等
<sub>●车辆的行驶路线与弯道的形状不</sub>ook.com 同时
●进入弯道期间车速过高时
●进/出停车场、车库、汽车电梯等时
●在停车场行驶时
●驶过存在高草丛 树枝 横幅等可能接触到车辆的障碍物的区域时
●在强风中行驶时
■可能无法检测到车道的情况
●车道极宽或极窄时
●刚变道或刚穿过交叉路口后
●由于施工作业，车辆在临时车道或专用车道上行驶时
●周围有类似于车道标志线的结构、图案、阴影时
●一条车道标志线有多条白线时 ●车道标志线不清晰或在潮湿路面 上行驶时
170
●车道标志线位于路缘上时
●在光亮、反光的路面上行驶时，如混凝土路面
■系统的部分或全部功能不起作用的情况
●检测到本系统或相关系统（如制动、转向等）存在故障时
●VSC、TRC 或其他与安全相关的系统工作时
●VSC、TRC 或其他与安全相关的系统关闭时","170,171","page_number,text"
"路缘上时
●在光亮、反光的路面上行驶时，如混凝土路面
■系统的部分或全部功能不起作用的情况
●检测到本系统或相关系统（如制动、转向等）存在故障时
●VSC、TRC 或其他与安全相关的系统工作时
●VSC、TRC 或其他与安全相关的系统关闭时
■制动器工作声音和踏板响应的变化
●操作制动器时，可能会听到制动器工作的声音且制动踏板响应可能改变，但这并不表示存在故障。
●系统工作时，可能会感觉制动踏板比预期更硬或下沉。在任一情况下，都可深踩制动踏板。请在必要时深踩制动踏板。
PCS（碰撞预测系统）
碰撞预测系统利用传感器检测车辆路径上的物体
(P.172)。系统判定很可能与可检测对象发生正面碰撞时，将发出警告以敦促驾驶员采取闪避措施，同时提高潜在制动压力，以帮助驾驶员避免碰撞。如果系统判定极可能发生碰撞，则自动施加制动，以帮助避免碰撞或减轻碰撞冲击。
可禁用/启用碰撞预测系统，并可更改警告时间。(P.180)
警告
<sub>■安全使用须知</sub>ook.com
●驾驶员应对安全驾驶负全部责任。密切注意周围情况以确保安全驾驶。切勿使用碰撞预测系统替代正常的制动操作。该系统并不是在所有情况下都能帮助避免碰撞或减轻碰撞冲击。过度依赖该系统安全驾驶车辆可能会引发事故，从而导致严重伤害甚至死亡。",171,text
"k.com
●驾驶员应对安全驾驶负全部责任。密切注意周围情况以确保安全驾驶。切勿使用碰撞预测系统替代正常的制动操作。该系统并不是在所有情况下都能帮助避免碰撞或减轻碰撞冲击。过度依赖该系统安全驾驶车辆可能会引发事故，从而导致严重伤害甚至死亡。
●尽管碰撞预测系统旨在帮助避免碰撞或减轻碰撞冲击，但是，根据不同的情况，系统效果会有所不同。因此，本系统可能无法总是达到相同的性能水平。
请仔细阅读以下内容。请勿过度依赖本系统，务必小心驾驶。
• 安全使用须知 :P.166
171
驾驶
警告
■禁用碰撞预测系统的情况
●需要禁用系统时 :P.166
可检测对象
系统可对下列可检测对象进行检测。（可检测对象因功能而异。）
 车辆
 自行车
 行人
 摩托车 <sup>\*</sup>
<sup>\*</sup>:仅在骑行时才可作为可检测对象进行检测。
系统功能
■ 碰撞预测警告
系统判定很可能发生碰撞时，蜂鸣器将鸣响且多信息显示屏上将显示图标和警告信息，以敦促驾驶员采取闪避措施。
如果可检测对象是车辆，则发出警告时会进行适当制动。
踏板，则多信息显示屏上将显示下列图标和信息。
■ 碰撞预测制动辅助
如果系统判定很可能发生碰撞且驾驶员的制动操作不足，则将增加制动力。
■ 碰撞预测制动控制
如果系统判定极可能发生碰撞，则自动施加制动，以帮助避免碰撞或减轻碰撞冲击。ook.com","171,172","aside_text,page_number,text"
"则多信息显示屏上将显示下列图标和信息。
■ 碰撞预测制动辅助
如果系统判定很可能发生碰撞且驾驶员的制动操作不足，则将增加制动力。
■ 碰撞预测制动控制
如果系统判定极可能发生碰撞，则自动施加制动，以帮助避免碰撞或减轻碰撞冲击。ook.com
■ 紧急转向辅助
如果系统判定满足下列条件，则将提供辅助，以帮助提高车辆稳定性并防止偏离车道。辅助期间，除碰撞预测警告外，多信息显示屏上还将显示以下图标。
很可能发生碰撞
车道内有足够的空间进行闪避转向操作
驾驶员正在操作方向盘辅助期间，碰撞预测警告将工作并将显示信息以警告驾驶员。
172
■ 交叉路口防撞辅助（左转/右转）
在下列情况下，如果系统判定很可能发生碰撞，则碰撞预测警告和碰撞预测制动将工作。根据交叉路口的情况，辅助可能无法正常工作。
在交叉路口向左/向右转弯 并穿过迎面车辆的路径时
• 向左/向右转弯并检测到迎面行 人或自行车时
■ 交叉路口防撞辅助（穿行车辆）
在交叉路口处等，如果系统判定很可能与接近的车辆或摩托车发生碰撞，则碰撞预测警告和碰撞预测制动将工作。根据交叉路口的情况，辅助可能无法正常工作。
■ 低速行驶时的加速抑制
低速行驶时，如果用力踩下加book.com速踏板且系统判定可能发生碰撞，则将限制发动机输出或稍微施加制动以限制加速。工作期间，蜂鸣器将鸣响，且多信息显示屏上将显示警告指示灯和信息。
173
警告","172,173,174","page_number,text"
"可能无法正常工作。
■ 低速行驶时的加速抑制
低速行驶时，如果用力踩下加book.com速踏板且系统判定可能发生碰撞，则将限制发动机输出或稍微施加制动以限制加速。工作期间，蜂鸣器将鸣响，且多信息显示屏上将显示警告指示灯和信息。
173
警告
■碰撞预测制动
●碰撞预测制动功能工作时，将施加较大的制动力。
●碰撞预测制动功能并非用于保持车辆停止。如果车辆通过碰撞预测制动控制停止，则驾驶员应根据需要立即操作制动器。
●驾驶员执行某些操作时，碰撞预测制动功能可能不工作。如果正在用力踩下加速踏板或正在转动方向盘，则系统可能判定驾驶员正在采取闪避措施，并可能会阻止碰撞预测制动功能工作。
●如果正在踩下制动踏板，则系统可能判定驾驶员正在采取闪避措施 因此可能会延迟碰撞<sub>预测制动控制的工作时间。</sub>www.ca
■低速行驶时的加速抑制
如果正在转动方向盘，则系统可能判定驾驶员正在采取闪避措施，并可能会阻止低速行驶时的加速抑制功能工作或可能取消该功能的工作。
■紧急转向辅助
●系统判定防止车道偏离控制已 完成时，将取消紧急转向辅 助。
●根据驾驶员执行的操作，紧急转向辅助可能不工作或工作可能取消。
• 如果用力踩下加速踏板、用力转动方向盘、踩下制动踏板或操作转向信号灯控制杆，则系统可能判定驾驶员正在采取闪避措施且紧急转向辅助可能不工作。",174,text
"已 完成时，将取消紧急转向辅 助。
●根据驾驶员执行的操作，紧急转向辅助可能不工作或工作可能取消。
• 如果用力踩下加速踏板、用力转动方向盘、踩下制动踏板或操作转向信号灯控制杆，则系统可能判定驾驶员正在采取闪避措施且紧急转向辅助可能不工作。
• 紧急转向辅助工作期间，如果用力踩下加速踏板、用力转动方向盘或踩下制动踏板，则系统可能判定驾驶员正在采取闪避措施且紧急转向辅助操作可能会取消。
• <sub>紧急转向辅助工作期间，如果</sub>ook.com握住方向盘或向系统操作的反方向转动方向盘，则紧急转向辅助操作将取消。
■碰撞预测系统各功能的工作条件
碰撞预测系统启用，且系统判定很可能与检测到的对象发生正面碰撞。
但是，在下列情况下，系统将不工作:
●断开并重新连接蓄电池端子后，车辆未行驶一定距离时
●换档杆置于R 档时
●VSC OFF指示灯亮灯时（仅碰撞预测警告功能工作）
174
以下是各功能的工作速度和取消条件:
●碰撞预测警告
●碰撞预测制动辅助
175
驾驶
●碰撞预测制动
• 用力或突然操作方向盘
●紧急转向辅助
转向信号灯闪烁时，紧急转向辅助将不工作。
紧急转向辅助工作期间，如果执行以下任一操作，则紧急转向辅助操作可能会取消 :
• 用力踩下加速踏板
• 用力或突然操作方向盘
• 踩下制动踏板
●交叉路口防撞辅助（左转/右转）","174,175,176","aside_text,page_number,text"
